time_period,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,London,South East,South West,Wales,Scotland
Jan 2011,117111,129892,128975,136418,146490,287983,216680,188992,127771,129746
Feb 2011,116809,128951,130825,137220,144486,285227,217190,187669,127961,125916
Mar 2011,115711,127767,127764,136388,143209,287092,215778,187586,125133,126172
Apr 2011,119438,129500,131790,137100,145562,293993,218178,188251,129222,129848
May 2011,119979,128753,131713,137464,145692,284722,218577,187412,128085,129832
Jun 2011,119671,128484,130288,137793,145807,285906,219162,189494,128270,131209
Jul 2011,117616,130275,131165,140060,146184,295843,222005,191264,128564,133429
Aug 2011,116961,131341,132380,140623,146183,294903,220344,191964,129395,132518
Sep 2011,117236,130472,131546,138920,147655,295358,221239,189499,131017,131949
Oct 2011,116238,129674,129243,137499,144812,292267,218309,189765,127698,129122
Nov 2011,117028,127346,129847,137839,145825,291036,219732,188933,130415,128206
Dec 2011,115328,128039,129614,138723,143628,292284,219371,187426,127397,125924
Jan 2012,113011,125780,126763,136369,145071,294360,217660,189942,127097,125728
Feb 2012,113852,127311,127906,136102,143615,292381,218487,189653,126324,121886
Mar 2012,116622,127820,128570,137025,144779,290379,219094,188079,126231,125412
Apr 2012,116031,128284,128045,138440,144490,299065,223223,190924,128163,125134
May 2012,115601,127459,129642,138251,144126,304081,223509,190367,128349,126455
Jun 2012,117444,129810,130979,139459,147713,306823,224379,191813,129986,128361
Jul 2012,117137,129030,131167,140983,147399,308962,226770,193530,129342,127491
Aug 2012,119749,130137,131781,139793,147401,310043,227861,192032,128860,126734
Sep 2012,118194,129970,130579,139262,147227,308469,228457,191674,127952,125823
Oct 2012,116854,126997,129217,139395,145709,310281,224927,191820,126881,124617
Nov 2012,116777,128922,130287,139511,146988,308540,224563,191426,128452,123166
Dec 2012,114860,127862,129701,138977,147386,313744,225865,187901,127143,122180
Jan 2013,113585,124578,125516,137537,145005,311364,225210,189820,127584,122594
Feb 2013,112008,127100,128099,137599,145470,313550,223861,189236,125702,120180
Mar 2013,115161,126970,127679,138562,145983,312289,225295,190494,126975,121357
Apr 2013,115330,127515,127980,139314,146320,320921,227862,193336,126671,123409
May 2013,115849,128085,130027,141012,147312,322324,228343,192848,128640,125358
Jun 2013,115645,129600,130724,141367,149457,324518,230987,193267,129380,127118
