time_period,all_vacancies,construction,wholesale_retail,education,health_social_work
Apr-Jun 2001,680.0,31.0,131.0,32.0,79.0
May-Jul 2001,674.0,30.0,130.0,32.0,83.0
Jun-Aug 2001,663.0,29.0,129.0,31.0,84.0
Jul-Sep 2001,663.0,31.0,122.0,32.0,86.0
Aug-Oct 2001,639.0,29.0,120.0,32.0,83.0
Sep-Nov 2001,626.0,28.0,120.0,32.0,79.0
Oct-Dec 2001,602.0,25.0,121.0,33.0,81.0
Nov- Jan 2002,605.0,22.0,126.0,33.0,81.0
Dec-Feb 2002,616.0,25.0,125.0,33.0,86.0
Jan-Mar 2002,617.0,26.0,126.0,35.0,84.0
Feb-Apr 2002,622.0,26.0,126.0,33.0,82.0
Mar-May 2002,613.0,25.0,120.0,33.0,83.0
Apr-Jun 2002,616.0,28.0,121.0,31.0,82.0
May-Jul 2002,612.0,27.0,119.0,33.0,82.0
Jun-Aug 2002,613.0,29.0,118.0,33.0,81.0
Jul-Sep 2002,609.0,24.0,126.0,35.0,80.0
Aug-Oct 2002,609.0,23.0,129.0,35.0,80.0
Sep-Nov 2002,608.0,25.0,128.0,36.0,82.0
Oct-Dec 2002,603.0,26.0,120.0,37.0,83.0
Nov-Jan 2003,602.0,28.0,115.0,37.0,82.0
Dec-Feb 2003,596.0,29.0,112.0,38.0,80.0
Jan-Mar 2003,594.0,27.0,113.0,39.0,77.0
Feb-Apr 2003,585.0,26.0,113.0,39.0,77.0
Mar-May 2003,588.0,28.0,111.0,39.0,77.0
Apr-Jun 2003,579.0,28.0,111.0,40.0,77.0
May-Jul 2003,574.0,29.0,110.0,39.0,75.0
Jun-Aug 2003,576.0,29.0,113.0,39.0,74.0
Jul-Sep 2003,592.0,29.0,117.0,39.0,76.0
Aug-Oct 2003,604.0,28.0,119.0,40.0,77.0
Sep-Nov 2003,610.0,29.0,119.0,39.0,78.0
Oct-Dec 2003,615.0,29.0,122.0,39.0,77.0
Nov-Jan 2004,613.0,28.0,127.0,39.0,74.0
Dec-Feb 2004,617.0,26.0,127.0,38.0,75.0
Jan-Mar 2004,624.0,27.0,128.0,38.0,77.0
Feb-Apr 2004,631.0,26.0,128.0,38.0,78.0
Mar-May 2004,636.0,26.0,132.0,38.0,77.0
Apr-Jun 2004,641.0,24.0,133.0,38.0,78.0
May-Jul 2004,652.0,26.0,134.0,39.0,78.0
Jun-Aug 2004,654.0,26.0,133.0,40.0,79.0
Jul-Sep 2004,654.0,27.0,133.0,40.0,79.0
Aug-Oct 2004,654.0,26.0,133.0,40.0,78.0
Sep-Nov 2004,658.0,26.0,136.0,40.0,76.0
Oct-Dec 2004,662.0,25.0,139.0,41.0,75.0
Nov-Jan 2005,661.0,24.0,140.0,42.0,75.0
Dec-Feb 2005,655.0,24.0,141.0,43.0,76.0
Jan-Mar 2005,642.0,26.0,139.0,42.0,78.0
Feb-Apr 2005,638.0,26.0,135.0,43.0,76.0
Mar-May 2005,642.0,27.0,132.0,43.0,81.0
